bgcolor,name,value1,value2,value3,value4,hex,r,g,b
e99d57,PANTONE 2025,0,50,71,0,#E99D57,233,157,87
e06c42,PANTONE 2027,0,76,75,0,#E06C42,224,108,66
de5722,PANTONE 2028,0,84,98,0,#DE5722,222,87,34
e17662,PANTONE 2029,0,63,49,0,#E17662,225,118,98
df6b5c,PANTONE 2030,0,68,51,0,#DF6B5C,223,107,92
d56357,PANTONE 2031,4,71,54,0,#D56357,213,99,87
ce5148,PANTONE 2032,4,78,61,2,#CE5148,206,81,72
c0433b,PANTONE 2033,4,83,68,9,#C0433B,192,67,59
da472f,PANTONE 2034,0,85,80,0,#DA472F,218,71,47
d12e28,PANTONE 2035,0,97,100,3,#D12E28,209,46,40
ebbfd2,PANTONE 2036,0,29,1,0,#EBBFD2,235,191,210
e09bbe,PANTONE 2037,2,51,0,0,#E09BBE,224,155,190
df78a8,PANTONE 2038,0,68,0,0,#DF78A8,223,120,168
db558f,PANTONE 2039,0,83,3,0,#DB558F,219,85,143
d82f4f,PANTONE 2040,0,96,43,0,#D82F4F,216,47,79
972941,PANTONE 2041,0,98,39,40,#972941,151,41,65
6f3639,PANTONE 2042,20,91,44,58,#6F3639,111,54,57
e7c9d2,PANTONE 2043,2,23,4,0,#E7C9D2,231,201,210
e391b1,PANTONE 2044,0,53,3,0,#E391B1,227,145,177
dd6d98,PANTONE 2045,0,67,5,0,#DD6D98,221,109,152
d2497f,PANTONE 2046,0,80,7,3,#D2497F,210,73,127
a03a63,PANTONE 2047,18,85,17,21,#A03A63,160,58,99
923756,PANTONE 2048,16,88,24,34,#923756,146,55,86
7a3343,PANTONE 2049,19,90,36,47,#7A3343,122,51,67
e7d6dc,PANTONE 2050,3,15,3,0,#E7D6DC,231,214,220
dcc4ce,PANTONE 2051,8,23,5,0,#DCC4CE,220,196,206
c7a1b2,PANTONE 2052,18,39,11,0,#C7A1B2,199,161,178
af8099,PANTONE 2053,28,55,16,2,#AF8099,175,128,153
957381,PANTONE 2054,40,59,28,4,#957381,149,115,129
7f5e6c,PANTONE 2055,44,68,32,14,#7F5E6C,127,94,108
6f4f5e,PANTONE 2056,47,74,34,23,#6F4F5E,111,79,94
d391b7,PANTONE 2057,9,49,0,0,#D391B7,211,145,183
b783a7,PANTONE 2058,26,53,6,0,#B783A7,183,131,167
b7779a,PANTONE 2059,26,58,10,0,#B7779A,183,119,154
c16198,PANTONE 2060,19,70,0,0,#C16198,193,97,152
b04982,PANTONE 2061,25,80,5,3,#B04982,176,73,130
ae337e,PANTONE 2062,28,88,0,0,#AE337E,174,51,126
a5277a,PANTONE 2063,35,94,0,0,#A5277A,165,39,122
cf9abf,PANTONE 2064,13,45,0,0,#CF9ABF,207,154,191
cea5c5,PANTONE 2065,15,38,0,0,#CEA5C5,206,165,197
bf91ba,PANTONE 2066,23,49,0,0,#BF91BA,191,145,186
ad6fa4,PANTONE 2067,34,63,0,0,#AD6FA4,173,111,164
a55e98,PANTONE 2068,40,71,0,0,#A55E98,165,94,152
9a498b,PANTONE 2069,47,81,0,0,#9A498B,154,73,139
8b3a83,PANTONE 2070,59,89,0,0,#8B3A83,139,58,131
c4b1cf,PANTONE 2071,23,29,0,0,#C4B1CF,196,177,207
b097c1,PANTONE 2072,34,42,0,0,#B097C1,176,151,193
a993bf,PANTONE 2073,39,44,0,0,#A993BF,169,147,191
9473ab,PANTONE 2074,51,62,0,0,#9473AB,148,115,171
8a74ad,PANTONE 2075,56,60,0,0,#8A74AD,138,116,173
8263a1,PANTONE 2076,60,70,0,0,#8263A1,130,99,161
694991,PANTONE 2077,76,85,0,0,#694991,105,73,145
b49bc0,PANTONE 2078,30,41,2,0,#B49BC0,180,155,192
9b83a6,PANTONE 2079,45,53,10,0,#9B83A6,155,131,166
9b7db1,PANTONE 2080,45,55,0,0,#9B7DB1,155,125,177
7f599a,PANTONE 2081,60,72,0,0,#7F599A,127,89,154
6d4189,PANTONE 2082,70,81,0,0,#6D4189,109,65,137
956fa7,PANTONE 2083,46,58,0,0,#956FA7,149,111,167
714088,PANTONE 2084,66,79,0,0,#714088,113,64,136
decedf,PANTONE 2085,9,16,0,0,#DECEDF,222,206,223
9989b9,PANTONE 2086,41,45,0,0,#9989B9,153,137,185
9385b6,PANTONE 2087,45,49,0,0,#9385B6,147,133,182
7a6aa5,PANTONE 2088,58,60,0,0,#7A6AA5,122,106,165
675293,PANTONE 2089,72,74,0,0,#675293,103,82,147
61468b,PANTONE 2090,77,79,0,0,#61468B,97,70,139
513881,PANTONE 2091,86,88,0,0,#513881,81,56,129
b2a6ca,PANTONE 2092,29,32,0,0,#B2A6CA,178,166,202
a198c1,PANTONE 2093,38,38,1,0,#A198C1,161,152,193
847cae,PANTONE 2094,53,52,3,0,#847CAE,132,124,174
7065a3,PANTONE 2095,66,63,0,0,#7065A3,112,101,163
5e5194,PANTONE 2096,76,75,0,0,#5E5194,94,81,148
5e5195,PANTONE 2097,77,74,0,0,#5E5195,94,81,149
483e87,PANTONE 2098,88,86,0,0,#483E87,72,62,135
a89ac2,PANTONE 2099,36,38,1,0,#A89AC2,168,154,194
9b91be,PANTONE 2100,43,42,0,0,#9B91BE,155,145,190
847fb4,PANTONE 2101,54,52,0,0,#847FB4,132,127,180
5e5c9f,PANTONE 2102,76,71,0,0,#5E5C9F,94,92,159
564c93,PANTONE 2103,84,82,0,0,#564C93,86,76,147
444089,PANTONE 2104,92,87,0,0,#444089,68,64,137
382c75,PANTONE 2105,100,100,0,3,#382C75,56,44,117
b7c0d3,PANTONE 2106,31,18,5,0,#B7C0D3,183,192,211
9ea3b7,PANTONE 2107,44,28,12,2,#9EA3B7,158,163,183
7a85a0,PANTONE 2108,58,38,15,7,#7A85A0,122,133,160
5c6d8b,PANTONE 2109,74,51,22,8,#5C6D8B,92,109,139
515d82,PANTONE 2110,81,60,19,13,#515D82,81,93,130
3f5173,PANTONE 2111,86,65,21,26,#3F5173,63,81,115
2a3065,PANTONE 2112,97,96,0,41,#2A3065,42,48,101
a0add3,PANTONE 2113,39,23,0,0,#A0ADD3,160,173,211
838fc0,PANTONE 2114,52,38,0,0,#838FC0,131,143,192
657fb8,PANTONE 2115,64,46,0,0,#657FB8,101,127,184
566eac,PANTONE 2116,76,56,0,0,#566EAC,86,110,172
3a4c93,PANTONE 2117,92,79,0,0,#3A4C93,58,76,147
31397f,PANTONE 2118,99,89,0,7,#31397F,49,57,127
2f366a,PANTONE 2119,97,85,0,37,#2F366A,47,54,106
c1d1e7,PANTONE 2120,26,9,0,0,#C1D1E7,193,209,231
8cadd6,PANTONE 2121,51,21,0,0,#8CADD6,140,173,214
96abd2,PANTONE 2122,47,25,0,0,#96ABD2,150,171,210
6f8cc2,PANTONE 2123,63,39,0,0,#6F8CC2,111,140,194
637db7,PANTONE 2124,67,49,0,0,#637DB7,99,125,183
5670af,PANTONE 2125,74,55,0,0,#5670AF,86,112,175
b8cfe7,PANTONE 2127,30,8,0,0,#B8CFE7,184,207,231
92b2d9,PANTONE 2128,49,20,0,0,#92B2D9,146,178,217
6593c8,PANTONE 2129,69,35,0,0,#6593C8,101,147,200
5a7fbc,PANTONE 2130,78,51,0,0,#5A7FBC,90,127,188
466aad,PANTONE 2131,87,64,0,0,#466AAD,70,106,173
3064a9,PANTONE 2132,92,64,0,0,#3064A9,48,100,169
155ea4,PANTONE 2133,96,64,0,0,#155EA4,21,94,164
96a9d0,PANTONE 2134,46,26,0,0,#96A9D0,150,169,208
6788be,PANTONE 2135,62,39,0,0,#6788BE,103,136,190
7b92ad,PANTONE 2136,58,33,14,2,#7B92AD,123,146,173
637d9c,PANTONE 2137,69,41,15,8,#637D9C,99,125,156
637682,PANTONE 2138,70,46,31,12,#637682,99,118,130
55718f,PANTONE 2139,79,49,17,15,#55718F,85,113,143
2f4e74,PANTONE 2140,93,61,9,42,#2F4E74,47,78,116
85b8df,PANTONE 2141,49,9,0,0,#85B8DF,133,184,223
79a5d2,PANTONE 2142,54,20,0,0,#79A5D2,121,165,210
4384bf,PANTONE 2143,77,34,0,0,#4384BF,67,132,191
0069ad,PANTONE 2144,95,53,0,0,#0069AD,0,105,173
115391,PANTONE 2145,98,62,0,14,#115391,17,83,145
1d4481,PANTONE 2146,100,72,0,20,#1D4481,29,68,129
2a3b80,PANTONE 2147,99,86,0,7,#2A3B80,42,59,128
6690ab,PANTONE 2148,66,29,14,4,#6690AB,102,144,171
5085a4,PANTONE 2149,79,37,17,2,#5085A4,80,133,164
407797,PANTONE 2150,83,39,15,13,#407797,64,119,151
1c6ea5,PANTONE 2151,93,51,6,4,#1C6EA5,28,110,165
13658b,PANTONE 2152,92,44,13,22,#13658B,19,101,139
015379,PANTONE 2153,97,49,11,38,#015379,1,83,121
014779,PANTONE 2154,100,58,0,42,#014779,1,71,121
a8bdce,PANTONE 2155,38,15,8,0,#A8BDCE,168,189,206
8ca8bf,PANTONE 2156,51,23,11,0,#8CA8BF,140,168,191
7196b1,PANTONE 2157,63,31,14,0,#7196B1,113,150,177
5784a2,PANTONE 2158,74,38,17,4,#5784A2,87,132,162
4e7a99,PANTONE 2159,79,43,18,8,#4E7A99,78,122,153
3c6f8e,PANTONE 2160,85,47,20,13,#3C6F8E,60,111,142
17597e,PANTONE 2161,93,55,16,25,#17597E,23,89,126
9babb5,PANTONE 2162,42,23,18,1,#9BABB5,155,171,181
82979f,PANTONE 2163,52,29,26,3,#82979F,130,151,159
728e9c,PANTONE 2164,58,32,27,3,#728E9C,114,142,156
597a8b,PANTONE 2165,68,39,30,9,#597A8B,89,122,139
496b7e,PANTONE 2166,75,45,33,14,#496B7E,73,107,126
3f6578,PANTONE 2167,79,46,34,16,#3F6578,63,101,120
134153,PANTONE 2168,91,44,30,57,#134153,19,65,83
81b1d1,PANTONE 2169,52,13,5,0,#81B1D1,129,177,209
4699c5,PANTONE 2170,69,21,6,0,#4699C5,70,153,197
3fa0d6,PANTONE 2171,72,17,0,0,#3FA0D6,63,160,214
2880bf,PANTONE 2172,86,42,0,0,#2880BF,40,128,191
0089c8,PANTONE 2173,88,31,0,0,#0089C8,0,137,200
0076bb,PANTONE 2174,94,43,0,0,#0076BB,0,118,187
006cb4,PANTONE 2175,99,47,0,0,#006CB4,0,108,180
adbfc1,PANTONE 2176,33,12,17,0,#ADBFC1,173,191,193
769fab,PANTONE 2177,54,20,24,3,#769FAB,118,159,171
508697,PANTONE 2178,68,29,30,7,#508697,80,134,151
407685,PANTONE 2179,76,35,34,18,#407685,64,118,133
2f6979,PANTONE 2180,83,40,34,30,#2F6979,47,105,121
1c5668,PANTONE 2181,89,42,29,50,#1C5668,28,86,104
154f5f,PANTONE 2182,93,44,32,57,#154F5F,21,79,95
0094ba,PANTONE 2183,88,21,13,2,#0094BA,0,148,186
008bcb,PANTONE 2184,94,29,0,0,#008BCB,0,139,203
007ca8,PANTONE 2185,100,38,17,2,#007CA8,0,124,168
005483,PANTONE 2186,100,46,0,46,#005483,0,84,131
00527f,PANTONE 2187,100,47,0,48,#00527F,0,82,127
00476c,PANTONE 2188,100,39,0,63,#00476C,0,71,108
0d394e,PANTONE 2189,94,24,0,85,#0D394E,13,57,78
3fb1e2,PANTONE 2190,70,3,0,0,#3FB1E2,63,177,226
05a0d9,PANTONE 2191,82,11,0,0,#05A0D9,5,160,217
0094d2,PANTONE 2192,89,18,0,0,#0094D2,0,148,210
008ccc,PANTONE 2193,92,24,0,0,#008CCC,0,140,204
0087c9,PANTONE 2194,95,26,0,0,#0087C9,0,135,201
0074bc,PANTONE 2195,98,40,0,0,#0074BC,0,116,188
006bad,PANTONE 2196,100,35,0,12,#006BAD,0,107,173
8ac8d4,PANTONE 2197,50,0,12,0,#8AC8D4,138,200,212
65bccd,PANTONE 2198,61,0,15,0,#65BCCD,101,188,205
28b1ca,PANTONE 2199,77,0,16,0,#28B1CA,40,177,202
00a8c3,PANTONE 2200,82,1,17,3,#00A8C3,0,168,195
00a9c8,PANTONE 2201,84,0,16,0,#00A9C8,0,169,200
009fd5,PANTONE 2202,92,0,6,0,#009FD5,0,159,213
008ab0,PANTONE 2203,94,1,14,15,#008AB0,0,138,176
b0ccd8,PANTONE 2204,33,5,8,2,#B0CCD8,176,204,216
78aebd,PANTONE 2205,55,11,18,3,#78AEBD,120,174,189
6f9fb6,PANTONE 2206,59,21,17,4,#6F9FB6,111,159,182
4b95ab,PANTONE 2207,73,18,22,8,#4B95AB,75,149,171
5889a1,PANTONE 2208,71,30,23,9,#5889A1,88,137,161
43859a,PANTONE 2209,79,23,23,19,#43859A,67,133,154
124c64,PANTONE 2210,97,45,24,55,#124C64,18,76,100
75a0a3,PANTONE 2211,62,22,35,2,#75A0A3,117,160,163
51848a,PANTONE 2212,75,29,42,12,#51848A,81,132,138
3c7176,PANTONE 2213,82,34,49,24,#3C7176,60,113,118
327179,PANTONE 2214,84,34,47,22,#327179,50,113,121
215a67,PANTONE 2215,89,46,44,40,#215A67,33,90,103
294f5a,PANTONE 2216,88,50,45,50,#294F5A,41,79,90
113b40,PANTONE 2217,88,0,28,88,#113B40,17,59,64
6badb6,PANTONE 2218,63,9,28,2,#6BADB6,107,173,182
5ba6b1,PANTONE 2219,68,10,30,3,#5BA6B1,91,166,177
4395a2,PANTONE 2220,76,13,34,9,#4395A2,67,149,162
348796,PANTONE 2221,80,16,34,19,#348796,52,135,150
178290,PANTONE 2222,85,17,38,19,#178290,23,130,144
007080,PANTONE 2223,91,11,38,40,#007080,0,112,128
006275,PANTONE 2224,96,0,31,57,#006275,0,98,117
97caca,PANTONE 2225,45,0,18,0,#97CACA,151,202,202
69bbbc,PANTONE 2227,60,0,25,0,#69BBBC,105,187,188
009fac,PANTONE 2228,92,0,34,0,#009FAC,0,159,172
009ba7,PANTONE 2229,96,0,36,0,#009BA7,0,155,167
008a90,PANTONE 2230,96,3,41,13,#008A90,0,138,144
007e8a,PANTONE 2231,100,5,40,21,#007E8A,0,126,138
6cb1b3,PANTONE 2232,61,7,31,0,#6CB1B3,108,177,179
4ba2a6,PANTONE 2233,71,8,35,4,#4BA2A6,75,162,166
3c9a9f,PANTONE 2234,75,10,37,6,#3C9A9F,60,154,159
248e91,PANTONE 2235,81,9,41,15,#248E91,36,142,145
318d90,PANTONE 2236,79,14,43,11,#318D90,49,141,144
0f7f83,PANTONE 2237,86,16,44,21,#0F7F83,15,127,131
00666c,PANTONE 2238,100,2,46,49,#00666C,0,102,108
73bcac,PANTONE 2239,59,0,39,0,#73BCAC,115,188,172
45af99,PANTONE 2240,74,0,49,0,#45AF99,69,175,153
4fa08d,PANTONE 2241,73,7,51,6,#4FA08D,79,160,141
009b71,PANTONE 2242,95,0,74,0,#009B71,0,155,113
009376,PANTONE 2243,90,5,63,6,#009376,0,147,118
227e65,PANTONE 2244,86,14,63,20,#227E65,34,126,101
007e51,PANTONE 2245,100,0,81,18,#007E51,0,126,81
aed0b4,PANTONE 2246,35,0,33,0,#AED0B4,174,208,180
7cba96,PANTONE 2247,54,0,48,0,#7CBA96,124,186,150
69b48d,PANTONE 2248,59,0,53,0,#69B48D,105,180,141
39a578,PANTONE 2249,73,0,62,0,#39A578,57,165,120
21a16d,PANTONE 2250,79,0,67,0,#21A16D,33,161,109
00975d,PANTONE 2251,87,0,74,0,#00975D,0,151,93
009349,PANTONE 2252,88,0,86,0,#009349,0,147,73
c9ddc3,PANTONE 2253,21,0,22,0,#C9DDC3,201,221,195
b7d2aa,PANTONE 2254,29,0,35,0,#B7D2AA,183,210,170
97c28e,PANTONE 2255,43,0,49,0,#97C28E,151,194,142
72b370,PANTONE 2256,57,0,62,0,#72B370,114,179,112
009739,PANTONE 2257,87,0,91,0,#009739,0,151,57
008b2f,PANTONE 2258,91,0,100,8,#008B2F,0,139,47
187329,PANTONE 2259,87,0,99,32,#187329,24,115,41
b8d2a3,PANTONE 2260,31,0,39,0,#B8D2A3,184,210,163
99be8a,PANTONE 2261,46,4,52,0,#99BE8A,153,190,138
84ad74,PANTONE 2262,54,9,62,2,#84AD74,132,173,116
659256,PANTONE 2263,65,12,75,14,#659256,101,146,86
6a9860,PANTONE 2264,64,13,72,8,#6A9860,106,152,96
44763c,PANTONE 2265,73,12,89,34,#44763C,68,118,60
2d5628,PANTONE 2266,71,0,100,68,#2D5628,45,86,40
b5d1a2,PANTONE 2267,32,0,42,0,#B5D1A2,181,209,162
a1c894,PANTONE 2268,42,0,51,0,#A1C894,161,200,148
90bf73,PANTONE 2269,51,0,71,0,#90BF73,144,191,115
75b66d,PANTONE 2270,61,0,73,0,#75B66D,117,182,109
55a94c,PANTONE 2271,74,0,85,0,#55A94C,85,169,76
19993b,PANTONE 2272,87,0,100,2,#19993B,25,153,59
25732d,PANTONE 2273,84,0,100,39,#25732D,37,115,45
d9e2b4,PANTONE 2274,15,0,34,0,#D9E2B4,217,226,180
c6d79b,PANTONE 2275,24,0,48,0,#C6D79B,198,215,155
8ea851,PANTONE 2276,48,8,83,9,#8EA851,142,168,81
59943c,PANTONE 2277,63,0,97,20,#59943C,89,148,60
588631,PANTONE 2278,62,0,98,35,#588631,88,134,49
587528,PANTONE 2279,54,0,96,51,#587528,88,117,40
486a24,PANTONE 2280,61,0,99,56,#486A24,72,106,36
d9e1a9,PANTONE 2281,15,0,46,0,#D9E1A9,217,225,169
ccddaf,PANTONE 2282,22,0,42,0,#CCDDAF,204,221,175
b3cf8e,PANTONE 2283,35,0,61,0,#B3CF8E,179,207,142
b9d18e,PANTONE 2284,33,0,60,0,#B9D18E,185,209,142
a5c776,PANTONE 2285,43,0,70,0,#A5C776,165,199,118
9dc04c,PANTONE 2286,48,0,86,0,#9DC04C,157,192,76
79b33f,PANTONE 2287,61,0,93,0,#79B33F,121,179,63
cbd98e,PANTONE 2288,24,0,57,0,#CBD98E,203,217,142
cbd98a,PANTONE 2289,24,0,60,0,#CBD98A,203,217,138
b9cf69,PANTONE 2290,34,0,78,0,#B9CF69,185,207,105
b3cb60,PANTONE 2291,38,0,82,0,#B3CB60,179,203,96
9dc149,PANTONE 2292,48,0,92,0,#9DC149,157,193,73
99be48,PANTONE 2293,49,0,90,0,#99BE48,153,190,72
84a837,PANTONE 2294,50,0,95,13,#84A837,132,168,55
dee29f,PANTONE 2295,12,0,49,0,#DEE29F,222,226,159
d6df98,PANTONE 2296,17,0,54,0,#D6DF98,214,223,152
bfd275,PANTONE 2297,29,0,72,0,#BFD275,191,210,117
b9ce6c,PANTONE 2298,33,0,72,0,#B9CE6C,185,206,108
a9c343,PANTONE 2299,41,0,84,0,#A9C343,169,195,67
abc230,PANTONE 2300,40,0,89,0,#ABC230,171,194,48
8ca71d,PANTONE 2301,46,0,100,14,#8CA71D,140,167,29
adb85d,PANTONE 2302,33,7,74,5,#ADB85D,173,184,93
9eb164,PANTONE 2303,43,11,76,0,#9EB164,158,177,100
9fab53,PANTONE 2304,37,9,83,11,#9FAB53,159,171,83
9aa126,PANTONE 2305,25,0,100,32,#9AA126,154,161,38
7d8d2a,PANTONE 2306,39,4,100,38,#7D8D2A,125,141,42
5f6b21,PANTONE 2307,34,0,100,60,#5F6B21,95,107,33
5a561a,PANTONE 2308,10,7,98,77,#5A561A,90,86,26
eaceb1,PANTONE 2309,3,15,29,0,#EACEB1,234,206,177
dac1ab,PANTONE 2310,11,20,30,0,#DAC1AB,218,193,171
cea88a,PANTONE 2311,15,31,45,2,#CEA88A,206,168,138
b89980,PANTONE 2312,25,37,50,4,#B89980,184,153,128
c29669,PANTONE 2313,18,41,62,6,#C29669,194,150,105
a77440,PANTONE 2314,32,58,85,7,#A77440,167,116,64
8c4a1d,PANTONE 2315,0,71,100,49,#8C4A1D,140,74,29
bc9c7d,PANTONE 2316,25,39,50,3,#BC9C7D,188,156,125
b79265,PANTONE 2317,26,45,62,6,#B79265,183,146,101
a57e4d,PANTONE 2318,29,52,72,15,#A57E4D,165,126,77
855923,PANTONE 2319,21,63,98,46,#855923,133,89,35
724b25,PANTONE 2320,25,69,97,54,#724B25,114,75,37
6b4f2d,PANTONE 2321,0,44,75,74,#6B4F2D,107,79,45
48331c,PANTONE 2322,32,72,99,81,#48331C,72,51,28
bfba9b,PANTONE 2323,26,20,40,0,#BFBA9B,191,186,155
afa17c,PANTONE 2324,30,30,53,5,#AFA17C,175,161,124
a59675,PANTONE 2325,36,36,56,6,#A59675,165,150,117
837b59,PANTONE 2327,50,42,67,16,#837B59,131,123,89
756645,PANTONE 2328,47,49,73,33,#756645,117,102,69
675a39,PANTONE 2329,46,50,78,46,#675A39,103,90,57
d9d7d0,PANTONE 2330,13,9,13,0,#D9D7D0,217,215,208
b0aca5,PANTONE 2331,32,26,29,3,#B0ACA5,176,172,165
8f8a83,PANTONE 2332,50,42,44,6,#8F8A83,143,138,131
686e68,PANTONE 2333,66,55,58,10,#686E68,104,110,104
6c6962,PANTONE 2334,62,56,56,16,#6C6962,108,105,98
555142,PANTONE 2335,70,65,73,27,#555142,85,81,66
494842,PANTONE 2336,76,69,68,33,#494842,73,72,66
eabaaf,PANTONE 2337,0,27,22,0,#EABAAF,234,186,175
e1a59c,PANTONE 2338,4,39,29,0,#E1A59C,225,165,156
e59a93,PANTONE 2339,0,49,32,0,#E59A93,229,154,147
d36d77,PANTONE 2340,9,66,40,0,#D36D77,211,109,119
bb6c6b,PANTONE 2341,23,64,51,2,#BB6C6B,187,108,107
bc5b66,PANTONE 2342,16,73,46,7,#BC5B66,188,91,102
ad5263,PANTONE 2343,24,75,44,10,#AD5263,173,82,99
e18979,PANTONE 2344,0,56,50,0,#E18979,225,137,121
e07e77,PANTONE 2345,0,59,50,0,#E07E77,224,126,119
dd6d72,PANTONE 2346,0,65,50,0,#DD6D72,221,109,114
d73929,PANTONE 2347,0,88,100,0,#D73929,215,57,41
da575a,PANTONE 2348,0,76,65,0,#DA575A,218,87,90
c7442a,PANTONE 2349,0,82,100,10,#C7442A,199,68,42
b12629,PANTONE 2350,0,95,100,21,#B12629,177,38,41
bf80ae,PANTONE 2351,24,59,0,0,#BF80AE,191,128,174
b5649b,PANTONE 2352,29,69,0,0,#B5649B,181,100,155
ba5390,PANTONE 2353,24,77,0,0,#BA5390,186,83,144
944f85,PANTONE 2354,48,78,9,7,#944F85,148,79,133
8b1e75,PANTONE 2355,55,100,0,0,#8B1E75,139,30,117
762162,PANTONE 2356,50,98,0,32,#762162,118,33,98
651641,PANTONE 2357,23,100,0,58,#651641,101,22,65
b0a8ae,PANTONE 2358,34,28,19,4,#B0A8AE,176,168,174
847a85,PANTONE 2359,52,48,31,15,#847A85,132,122,133
84808f,PANTONE 2360,55,45,27,10,#84808F,132,128,143
72778f,PANTONE 2361,62,50,23,9,#72778F,114,119,143
767286,PANTONE 2362,59,52,28,13,#767286,118,114,134
696074,PANTONE 2363,63,58,30,19,#696074,105,96,116
715f6f,PANTONE 2364,59,59,36,20,#715F6F,113,95,111
e8c1d7,PANTONE 2365,2,30,0,0,#E8C1D7,232,193,215
747db4,PANTONE 2366,64,55,0,0,#747DB4,116,125,180
5f599b,PANTONE 2367,80,72,0,0,#5F599B,95,89,155
5b60a0,PANTONE 2368,82,70,0,0,#5B60A0,91,96,160
53599c,PANTONE 2369,87,77,0,0,#53599C,83,89,156
