bgcolor,ral_code,name,cmyk_coated,cmyk_uncoated,html_hex,rgb
CCC58F,RAL 1000,Зелёно-бежевый,"[10, 10, 50, 10]","[0, 3, 40, 10]",#CCC58F,"[204, 197, 143]"
D1BC8A,RAL 1001,Бежевый,"[0, 20, 50, 20]","[10, 20, 40, 0]",#D1BC8A,"[209, 188, 138]"
D2B773,RAL 1002,Песочно-жёлтый,"[0, 20, 60, 10]","[3, 23, 60, 7]",#D2B773,"[210, 183, 115]"
F7BA0B,RAL 1003,Сигнальный жёлтый,"[5, 20, 90, 0]","[0, 20, 100, 0]",#F7BA0B,"[247, 186, 11]"
E2B007,RAL 1004,Жёлто-золотой,"[5, 30, 100, 0]","[0, 20, 100, 10]",#E2B007,"[226, 176, 7]"
C89F04,RAL 1005,Медово-жёлтый,"[10, 30, 100, 0]","[10, 20, 90, 0]",#C89F04,"[200, 159, 4]"
E1A100,RAL 1006,Кукурузно-жёлтый,"[5, 30, 90, 0]","[0, 30, 100, 0]",#E1A100,"[225, 161, 0]"
E79C00,RAL 1007,Нарциссово-жёлтый,"[0, 40, 100, 0]","[0, 30, 100, 0]",#E79C00,"[231, 156, 0]"
AF8A54,RAL 1011,Коричнево-бежевый,"[30, 40, 70, 0]","[20, 50, 100, 10]",#AF8A54,"[175, 138, 84]"
D9C022,RAL 1012,Лимонно-жёлтый,"[10, 10, 90, 0]","[10, 10, 100, 0]",#D9C022,"[217, 192, 34]"
E9E5CE,RAL 1013,Жемчужно-белый,"[0, 5, 20, 10]","[10, 10, 20, 0]",#E9E5CE,"[233, 229, 206]"
DED09F,RAL 1014,Слоновая кость,"[0, 10, 40, 10]","[10, 10, 30, 0]",#DED09F,"[222, 208, 159]"
EADEBD,RAL 1015,Светлая слоновая кость,"[0, 5, 30, 10]","[10, 10, 20, 0]",#EADEBD,"[234, 222, 189]"
EAF044,RAL 1016,Жёлтая сера,"[10, 0, 90, 0]","[10, 0, 80, 0]",#EAF044,"[234, 240, 68]"
F4B752,RAL 1017,Шафраново-жёлтый,"[0, 30, 70, 0]","[0, 30, 90, 0]",#F4B752,"[244, 183, 82]"
F3E03B,RAL 1018,Цинково-жёлтый,"[0, 0, 80, 0]","[0, 0, 90, 0]",#F3E03B,"[243, 224, 59]"
A4957D,RAL 1019,Серо-бежевый,"[5, 20, 40, 40]","[10, 20, 30, 0]",#A4957D,"[164, 149, 125]"
9A9464,RAL 1020,Оливково-жёлтый,"[1, 5, 30, 40]","[10, 10, 50, 25]",#9A9464,"[154, 148, 100]"
EEC900,RAL 1021,Рапсово-жёлтый,"[0, 10, 100, 0]","[0, 0, 100, 0]",#EEC900,"[238, 201, 0]"
F0CA00,RAL 1023,Транспортно-жёлтый,"[0, 10, 90, 0]","[0, 10, 100, 0]",#F0CA00,"[240, 202, 0]"
B89C50,RAL 1024,Охра жёлтая,"[30, 40, 70, 10]","[0, 20, 100, 25]",#B89C50,"[184, 156, 80]"
A38C15,RAL 1027,Карри жёлтый,"[10, 20, 90, 40]","[30, 30, 100, 0]",#A38C15,"[163, 140, 21]"
FFAB00,RAL 1028,Дынно-жёлтый,"[0, 30, 100, 0]","[0, 20, 100, 0]",#FFAB00,"[255, 171, 0]"
DDB20F,RAL 1032,Жёлтый ракитник,"[0, 30, 90, 10]","[0, 20, 100, 10]",#DDB20F,"[221, 178, 15]"
FAAB21,RAL 1033,Георгиново-жёлтый,"[0, 30, 90, 0]","[0, 30, 100, 0]",#FAAB21,"[250, 171, 33]"
EDAB56,RAL 1034,Пастельно-жёлтый,"[0, 30, 80, 0]","[0, 30, 60, 0]",#EDAB56,"[237, 171, 86]"
EEA205,RAL 1037,Солнечно-жёлтый,"[0, 40, 100, 0]","[0, 35, 90, 0]",#EEA205,"[238, 162, 5]"
DD7907,RAL 2000,Жёлто-оранжевый,"[0, 50, 100, 0]","[0, 40, 100, 0]",#DD7907,"[221, 121, 7]"
BE4E24,RAL 2001,Красно-оранжевый,"[0, 80, 100, 20]","[0, 70, 100, 0]",#BE4E24,"[190, 78, 36]"
C63927,RAL 2002,Алый,"[0, 90, 100, 10]","[0, 80, 100, 0]",#C63927,"[198, 57, 39]"
FA842B,RAL 2003,Пастельно-оранжевый,"[0, 52, 100, 0]","[0, 60, 100, 0]",#FA842B,"[250, 132, 43]"
E75B12,RAL 2004,Оранжевый,"[0, 70, 100, 0]","[0, 70, 100, 0]",#E75B12,"[231, 91, 18]"
F3752C,RAL 2008,Ярко-красно-оранжевый,"[0, 60, 100, 0]","[0, 50, 100, 0]",#F3752C,"[243, 117, 44]"
E15501,RAL 2009,Транспортный оранжевый,"[5, 70, 100, 10]","[0, 60, 100, 0]",#E15501,"[225, 85, 1]"
D4652F,RAL 2010,Сигнальный оранжевый,"[0, 70, 100, 10]","[0, 60, 100, 0]",#D4652F,"[212, 101, 47]"
EC7C25,RAL 2011,Насыщенный оранжевый,"[0, 55, 100, 0]","[0, 40, 100, 0]",#EC7C25,"[236, 124, 37]"
DB6A50,RAL 2012,Лососёво-оранжевый,"[0, 60, 70, 0]","[0, 80, 80, 0]",#DB6A50,"[219, 106, 80]"
AB2524,RAL 3000,Огненно-красный,"[0, 100, 100, 20]","[0, 100, 90, 0]",#AB2524,"[171, 37, 36]"
A02128,RAL 3001,Сигнальный красный,"[20, 100, 90, 10]","[0, 100, 90, 0]",#A02128,"[160, 33, 40]"
A1232B,RAL 3002,Карминно-красный,"[10, 100, 90, 20]","[0, 100, 90, 0]",#A1232B,"[161, 35, 43]"
8D1D2C,RAL 3003,Рубиново-красный,"[0, 100, 100, 40]","[0, 100, 90, 15]",#8D1D2C,"[141, 29, 44]"
701F29,RAL 3004,Пурпурно-красный,"[20, 100, 100, 60]","[0, 100, 90, 30]",#701F29,"[112, 31, 41]"
5E2028,RAL 3005,Винно-красный,"[20, 100, 80, 40]","[0, 100, 90, 50]",#5E2028,"[94, 32, 40]"
402225,RAL 3007,Чёрно-красный,"[60, 100, 70, 80]","[50, 100, 90, 40]",#402225,"[64, 34, 37]"
703731,RAL 3009,Оксид красный,"[5, 90, 100, 80]","[20, 100, 90, 30]",#703731,"[112, 55, 49]"
7E292C,RAL 3011,Коричнево-красный,"[20, 100, 100, 40]","[0, 100, 90, 30]",#7E292C,"[126, 41, 44]"
CB8D73,RAL 3012,Бежево-красный,"[5, 50, 50, 10]","[20, 60, 50, 0]",#CB8D73,"[203, 141, 115]"
9C322E,RAL 3013,Томатно-красный,"[20, 90, 100, 20]","[0, 100, 100, 15]",#9C322E,"[156, 50, 46]"
D47479,RAL 3014,Розовый антик,"[0, 70, 30, 10]","[10, 70, 40, 0]",#D47479,"[212, 116, 121]"
E1A6AD,RAL 3015,Светло-розовый,"[0, 50, 20, 10]","[10, 40, 10, 0]",#E1A6AD,"[225, 166, 173]"
AC4034,RAL 3016,Кораллово-красный,"[0, 90, 90, 20]","[0, 90, 90, 10]",#AC4034,"[172, 64, 52]"
D3545F,RAL 3017,Розовый,"[0, 80, 50, 10]","[0, 80, 40, 0]",#D3545F,"[211, 84, 95]"
D14152,RAL 3018,Клубнично-красный,"[5, 90, 70, 5]","[0, 90, 100, 0]",#D14152,"[209, 65, 82]"
C1121C,RAL 3020,Транспортный красный,"[0, 100, 100, 10]","[0, 90, 90, 0]",#C1121C,"[193, 18, 28]"
D56D56,RAL 3022,Лососёво-красный,"[0, 60, 70, 0]","[0, 70, 60, 0]",#D56D56,"[213, 109, 86]"
B42041,RAL 3027,Малиново-красный,"[0, 100, 70, 20]","[0, 100, 60, 15]",#B42041,"[180, 32, 65]"
CB3334,RAL 3028,Красный,"[5, 100, 100, 0]","[5, 100, 100, 0]",#CB3334,"[203, 51, 52]"
AC323B,RAL 3031,Ориент красный,"[20, 100, 90, 20]","[0, 90, 60, 15]",#AC323B,"[172, 50, 59]"
8A5A83,RAL 4001,Красно-сиреневый,"[60, 70, 5, 10]","[50, 97, 20, 0]",#8A5A83,"[138, 90, 131]"
933D50,RAL 4002,Красно-фиолетовый,"[40, 100, 90, 5]","[0, 100, 40, 30]",#933D50,"[147, 61, 80]"
D15B8F,RAL 4003,Вересково-фиолетовый,"[10, 70, 10, 0]","[7, 90, 0, 0]",#D15B8F,"[209, 91, 143]"
691639,RAL 4004,Бордово-фиолетовый,"[60, 100, 50, 20]","[10, 100, 0, 50]",#691639,"[105, 22, 57]"
83639D,RAL 4005,Сине-сиреневый,"[60, 100, 5, 10]","[50, 60, 0, 0]",#83639D,"[131, 99, 157]"
992572,RAL 4006,Транспортный пурпурный,"[50, 100, 0, 10]","[30, 100, 0, 0]",#992572,"[153, 37, 114]"
4A203B,RAL 4007,Пурпурно-фиолетовый,"[70, 100, 20, 60]","[90, 0, 10, 25]",#4A203B,"[74, 32, 59]"
904684,RAL 4008,Сигнальный фиолетовый,"[60, 90, 0, 10]","[30, 100, 0, 0]",#904684,"[144, 70, 132]"
A38995,RAL 4009,Пастельно-фиолетовый,"[40, 40, 30, 0]","[17, 40, 10, 15]",#A38995,"[163, 137, 149]"
C63678,RAL 4010,Телемагента,"[10, 90, 30, 0]","[0, 100, 0, 0]",#C63678,"[198, 54, 120]"
384C70,RAL 5000,Фиолетово-синий,"[100, 40, 5, 40]","[100, 70, 10, 25]",#384C70,"[56, 76, 112]"
1F4764,RAL 5001,Зелёно-синий,"[90, 20, 0, 80]","[100, 50, 10, 20]",#1F4764,"[31, 71, 100]"
2B2C7C,RAL 5002,Ультрамариново-синий,"[100, 70, 0, 40]","[100, 90, 0, 0]",#2B2C7C,"[43, 44, 124]"
2A3756,RAL 5003,Сапфирово-синий,"[100, 50, 0, 80]","[90, 0, 10, 25]",#2A3756,"[42, 55, 86]"
1D1F2A,RAL 5004,Чёрно-синий,"[100, 100, 70, 40]","[84, 53, 47, 56]",#1D1F2A,"[29, 31, 42]"
154889,RAL 5005,Сигнальный синий,"[100, 40, 0, 40]","[90, 60, 0, 0]",#154889,"[21, 72, 137]"
41678D,RAL 5007,Бриллиантово-синий,"[80, 20, 0, 40]","[100, 40, 0, 20]",#41678D,"[65, 103, 141]"
313C48,RAL 5008,Серо-синий,"[60, 0, 0, 90]","[100, 50, 10, 60]",#313C48,"[49, 60, 72]"
2E5978,RAL 5009,Лазурно-синий,"[90, 30, 10, 40]","[100, 40, 10, 20]",#2E5978,"[46, 89, 120]"
13447C,RAL 5010,Горечавково-синий,"[100, 40, 5, 40]","[100, 70, 0, 0]",#13447C,"[19, 68, 124]"
232C3F,RAL 5011,Стально-синий,"[100, 60, 10, 80]","[96, 46, 10, 40]",#232C3F,"[35, 44, 63]"
3481B8,RAL 5012,Голубой,"[90, 30, 10, 10]","[97, 26, 0, 0]",#3481B8,"[52, 129, 184]"
232D53,RAL 5013,Кобальтово-синий,"[100, 60, 0, 60]","[90, 0, 10, 25]",#232D53,"[35, 45, 83]"
6C7C98,RAL 5014,Голубино-синий,"[50, 20, 0, 40]","[64, 41, 11, 12]",#6C7C98,"[108, 124, 152]"
2874B2,RAL 5015,Небесно-синий,"[100, 30, 0, 10]","[100, 20, 0, 0]",#2874B2,"[40, 116, 178]"
0E518D,RAL 5017,Транспортный синий,"[100, 20, 5, 40]","[90, 50, 0, 0]",#0E518D,"[14, 81, 141]"
21888F,RAL 5018,Бирюзово-синий,"[90, 10, 40, 10]","[93, 7, 33, 3]",#21888F,"[33, 136, 143]"
1A5784,RAL 5019,Капри синий,"[100, 50, 20, 10]","[100, 30, 0, 20]",#1A5784,"[26, 87, 132]"
0B4151,RAL 5020,Океанская синь,"[100, 0, 40, 80]","[100, 30, 50, 40]",#0B4151,"[11, 65, 81]"
07737A,RAL 5021,Водная синь,"[100, 20, 50, 10]","[100, 0, 30, 15]",#07737A,"[7, 115, 122]"
2F2A5A,RAL 5022,Ночной синий,"[100, 100, 40, 40]","[90, 0, 10, 25]",#2F2A5A,"[47, 42, 90]"
4D668E,RAL 5023,Отдалённо-синий,"[80, 40, 10, 20]","[100, 60, 10, 0]",#4D668E,"[77, 102, 142]"
6A93B0,RAL 5024,Пастельно-синий,"[70, 20, 10, 20]","[63, 17, 7, 8]",#6A93B0,"[106, 147, 176]"
327662,RAL 6000,Патиново-зелёный,"[80, 20, 60, 20]","[98, 8, 68, 17]",#327662,"[50, 118, 98]"
28713E,RAL 6001,Изумрудно-зелёный,"[90, 30, 90, 10]","[100, 0, 100, 15]",#28713E,"[40, 113, 62]"
276235,RAL 6002,Лиственно-зелёный,"[90, 40, 90, 10]","[90, 0, 100, 25]",#276235,"[39, 98, 53]"
4B573E,RAL 6003,Оливково-зелёный,"[80, 50, 80, 20]","[50, 40, 100, 40]",#4B573E,"[75, 87, 62]"
0E4243,RAL 6004,Сине-зелёный,"[100, 50, 60, 40]","[100, 30, 50, 40]",#0E4243,"[14, 66, 67]"
0F4336,RAL 6005,Зелёный мох,"[100, 60, 90, 20]","[100, 20, 90, 30]",#0F4336,"[15, 67, 54]"
40433B,RAL 6006,Серо-оливковый,"[90, 80, 90, 20]","[80, 70, 100, 60]",#40433B,"[64, 67, 59]"
283424,RAL 6007,Бутылочно-зелёный,"[80, 50, 80, 60]","[80, 60, 100, 60]",#283424,"[40, 52, 36]"
35382E,RAL 6008,Коричнево-зелёный,"[70, 50, 70, 80]","[100, 100, 100, 75]",#35382E,"[53, 56, 46]"
26392F,RAL 6009,Пихтовый зелёный,"[90, 50, 90, 60]","[100, 60, 80, 60]",#26392F,"[38, 57, 47]"
3E753B,RAL 6010,Травяной зелёный,"[70, 10, 80, 40]","[70, 0, 100, 25]",#3E753B,"[62, 117, 59]"
66825B,RAL 6011,Резедово-зелёный,"[70, 30, 70, 5]","[50, 13, 70, 20]",#66825B,"[102, 130, 91]"
31403D,RAL 6012,Чёрно-зелёный,"[100, 80, 100, 20]","[100, 50, 80, 60]",#31403D,"[49, 64, 61]"
797C5A,RAL 6013,Тростниково-зелёный,"[40, 20, 60, 40]","[40, 40, 70, 10]",#797C5A,"[121, 124, 90]"
444337,RAL 6014,Жёлто-оливковый,"[80, 50, 90, 60]","[50, 70, 100, 50]",#444337,"[68, 67, 55]"
3D403A,RAL 6015,Чёрно-оливковый,"[80, 60, 70, 40]","[100, 100, 100, 75]",#3D403A,"[61, 64, 58]"
026A52,RAL 6016,Бирюзово-зелёный,"[100, 30, 80, 0]","[100, 0, 70, 15]",#026A52,"[2, 106, 82]"
468641,RAL 6017,Майский зелёный,"[80, 20, 100, 10]","[77, 0, 97, 0]",#468641,"[70, 134, 65]"
48A43F,RAL 6018,Желто-зелёный,"[70, 0, 90, 0]","[60, 0, 100, 0]",#48A43F,"[72, 164, 63]"
B7D9B1,RAL 6019,Бело-зелёный,"[35, 0, 40, 0]","[30, 0, 30, 0]",#B7D9B1,"[183, 217, 177]"
354733,RAL 6020,Хромовый зелёный,"[90, 60, 80, 20]","[80, 40, 100, 50]",#354733,"[53, 71, 51]"
86A47C,RAL 6021,Бледно-зелёный,"[50, 10, 50, 10]","[43, 13, 50, 7]",#86A47C,"[134, 164, 124]"
3E3C32,RAL 6022,Коричнево-оливковый,"[90, 80, 100, 20]","[70, 100, 90, 75]",#3E3C32,"[62, 60, 50]"
008754,RAL 6024,Транспортный зелёный,"[90, 10, 80, 10]","[90, 100, 70, 0]",#008754,"[0, 135, 84]"
53753C,RAL 6025,Папоротниково-зелёный,"[80, 30, 90, 10]","[50, 10, 100, 25]",#53753C,"[83, 117, 60]"
005D52,RAL 6026,Опаловый зелёный,"[100, 30, 70, 40]","[100, 0, 70, 15]",#005D52,"[0, 93, 82]"
81C0BB,RAL 6027,Светло-зелёный,"[60, 0, 30, 0]","[50, 0, 20, 0]",#81C0BB,"[129, 192, 187]"
2D5546,RAL 6028,Сосновый зелёный,"[100, 60, 100, 0]","[100, 30, 100, 40]",#2D5546,"[45, 85, 70]"
007243,RAL 6029,Мятно-зелёный,"[100, 20, 100, 5]","[100, 0, 100, 0]",#007243,"[0, 114, 67]"
0F8558,RAL 6032,Сигнальный зелёный,"[90, 10, 80, 0]","[90, 0, 70, 0]",#0F8558,"[15, 133, 88]"
478A84,RAL 6033,Мятно-бирюзовый,"[80, 20, 50, 0]","[90, 0, 40, 17]",#478A84,"[71, 138, 132]"
7FB0B2,RAL 6034,Пастельно-бирюзовый,"[60, 10, 40, 0]","[50, 0, 20, 10]",#7FB0B2,"[127, 176, 178]"
008F39,RAL 6037,Зелёный,"[90, 0, 100, 0]","[90, 0, 100, 0]",#008F39,"[0, 143, 57]"
7E8B92,RAL 7000,Серая белка,"[40, 10, 10, 40]","[33, 6, 6, 36]",#7E8B92,"[126, 139, 146]"
8F999F,RAL 7001,Серебристо-серый,"[10, 0, 0, 40]","[20, 7, 7, 30]",#8F999F,"[143, 153, 159]"
817F68,RAL 7002,Оливково-серый,"[30, 30, 50, 40]","[37, 37, 57, 15]",#817F68,"[129, 127, 104]"
7A7B6D,RAL 7003,Серый мох,"[30, 20, 40, 40]","[27, 20, 40, 40]",#7A7B6D,"[122, 123, 109]"
9EA0A1,RAL 7004,Сигнальный серый,"[0, 0, 0, 45]","[7, 4, 4, 33]",#9EA0A1,"[158, 160, 161]"
6B716F,RAL 7005,Мышино-серый,"[30, 10, 20, 60]","[48, 42, 39, 20]",#6B716F,"[107, 113, 111]"
756F61,RAL 7006,Бежево-серый,"[0, 10, 30, 60]","[29, 43, 56, 35]",#756F61,"[117, 111, 97]"
746643,RAL 7008,Серое хаки,"[30, 40, 70, 40]","[10, 30, 90, 40]",#746643,"[116, 102, 67]"
5B6259,RAL 7009,Зелёно-серый,"[20, 50, 40, 80]","[60, 50, 70, 32]",#5B6259,"[91, 98, 89]"
575D57,RAL 7010,Брезентово-серый,"[20, 5, 30, 80]","[60, 47, 50, 43]",#575D57,"[87, 93, 87]"
555D61,RAL 7011,Железно-серый,"[40, 10, 20, 80]","[60, 40, 30, 30]",#555D61,"[85, 93, 97]"
596163,RAL 7012,Базальтово-серый,"[20, 0, 10, 80]","[50, 20, 20, 40]",#596163,"[89, 97, 99]"
555548,RAL 7013,Коричнево-серый,"[10, 10, 40, 80]","[50, 60, 100, 50]",#555548,"[85, 85, 72]"
51565C,RAL 7015,Сланцево-серый,"[40, 10, 10, 80]","[80, 65, 33, 45]",#51565C,"[81, 86, 92]"
373F43,RAL 7016,Антрацитово-серый,"[60, 30, 30, 80]","[100, 50, 30, 60]",#373F43,"[55, 63, 67]"
2E3234,RAL 7021,Чёрно-серый,"[50, 10, 5, 95]","[100, 90, 70, 50]",#2E3234,"[46, 50, 52]"
4B4D46,RAL 7022,Серая умбра,"[30, 20, 40, 80]","[80, 80, 100, 75]",#4B4D46,"[75, 77, 70]"
818479,RAL 7023,Серый бетон,"[40, 20, 40, 40]","[50, 40, 40, 0]",#818479,"[129, 132, 121]"
474A50,RAL 7024,Графитовый серый,"[80, 60, 50, 40]","[90, 60, 30, 60]",#474A50,"[71, 74, 80]"
374447,RAL 7026,Гранитовый серый,"[60, 20, 30, 80]","[100, 40, 50, 60]",#374447,"[55, 68, 71]"
939388,RAL 7030,Каменно-серый,"[20, 10, 20, 40]","[0, 0, 10, 40]",#939388,"[147, 147, 136]"
5D6970,RAL 7031,Сине-серый,"[60, 30, 30, 40]","[68, 52, 41, 18]",#5D6970,"[93, 105, 112]"
B9B9A8,RAL 7032,Галечный серый,"[0, 0, 20, 40]","[0, 0, 10, 25]",#B9B9A8,"[185, 185, 168]"
818979,RAL 7033,Цементно-серый,"[30, 10, 30, 40]","[37, 13, 37, 30]",#818979,"[129, 137, 121]"
939176,RAL 7034,Жёлто-серый,"[5, 5, 40, 40]","[0, 0, 30, 40]",#939176,"[147, 145, 118]"
CBD0CC,RAL 7035,Светло-серый,"[5, 0, 5, 20]","[20, 14, 14, 0]",#CBD0CC,"[203, 208, 204]"
9A9697,RAL 7036,Платиново-серый,"[10, 10, 10, 40]","[30, 30, 20, 10]",#9A9697,"[154, 150, 151]"
7C7F7E,RAL 7037,Пыльно-серый,"[30, 20, 20, 40]","[11, 8, 8, 46]",#7C7F7E,"[124, 127, 126]"
B4B8B0,RAL 7038,Агатовый серый,"[30, 10, 20, 20]","[30, 22, 22, 0]",#B4B8B0,"[180, 184, 176]"
6B695F,RAL 7039,Кварцевый серый,"[50, 40, 50, 40]","[60, 60, 60, 0]",#6B695F,"[107, 105, 95]"
9DA3A6,RAL 7040,Серое окно,"[20, 5, 10, 40]","[30, 20, 10, 10]",#9DA3A6,"[157, 163, 166]"
8F9695,RAL 7042,Транспортный серый A,"[30, 10, 20, 40]","[17, 9, 9, 33]",#8F9695,"[143, 150, 149]"
4E5451,RAL 7043,Транспортный серый B,"[30, 10, 20, 80]","[87, 81, 74, 29]",#4E5451,"[78, 84, 81]"
BDBDB2,RAL 7044,Серый шёлк,"[0, 0, 15, 30]","[10, 10, 10, 10]",#BDBDB2,"[189, 189, 178]"
91969A,RAL 7045,Телегрей 1,"[20, 10, 10, 40]","[10, 0, 0, 40]",#91969A,"[145, 150, 154]"
82898E,RAL 7046,Телегрей 2,"[30, 10, 10, 40]","[31, 18, 14, 25]",#82898E,"[130, 137, 142]"
CFD0CF,RAL 7047,Телегрей 4,"[0, 0, 5, 20]","[0, 0, 0, 12]",#CFD0CF,"[207, 208, 207]"
887142,RAL 8000,Зелёно-коричневый,"[50, 50, 80, 10]","[20, 40, 90, 25]",#887142,"[136, 113, 66]"
9C6B30,RAL 8001,Охра коричневая,"[40, 60, 90, 10]","[10, 50, 100, 10]",#9C6B30,"[156, 107, 48]"
7B5141,RAL 8002,Сигнальный коричневый,"[60, 80, 80, 10]","[20, 80, 100, 30]",#7B5141,"[123, 81, 65]"
80542F,RAL 8003,Глиняный коричневый,"[50, 70, 80, 10]","[0, 60, 100, 40]",#80542F,"[128, 84, 47]"
8F4E35,RAL 8004,Медно-коричневый,"[40, 80, 80, 10]","[0, 70, 100, 25]",#8F4E35,"[143, 78, 53]"
6F4A2F,RAL 8007,Олень коричневый,"[60, 70, 80, 20]","[0, 70, 100, 40]",#6F4A2F,"[111, 74, 47]"
6F4F28,RAL 8008,Оливково-коричневый,"[50, 60, 70, 20]","[30, 60, 100, 10]",#6F4F28,"[111, 79, 40]"
5A3A29,RAL 8011,Орехово-коричневый,"[10, 60, 100, 80]","[10, 90, 100, 50]",#5A3A29,"[90, 58, 41]"
673831,RAL 8012,Красно-коричневый,"[5, 100, 100, 80]","[0, 100, 100, 50]",#673831,"[103, 56, 49]"
49392D,RAL 8014,Сепия коричневый,"[30, 60, 100, 80]","[40, 70, 100, 50]",#49392D,"[73, 57, 45]"
633A34,RAL 8015,Каштаново-коричневый,"[0, 90, 100, 80]","[10, 100, 100, 50]",#633A34,"[99, 58, 52]"
4C2F26,RAL 8016,Махагон коричневый,"[40, 80, 80, 80]","[30, 90, 90, 50]",#4C2F26,"[76, 47, 38]"
44322D,RAL 8017,Шоколадно-коричневый,"[60, 80, 80, 80]","[50, 100, 90, 60]",#44322D,"[68, 50, 45]"
3F3A3A,RAL 8019,Серо-коричневый,"[90, 90, 80, 80]","[70, 100, 90, 75]",#3F3A3A,"[63, 58, 58]"
211F20,RAL 8022,Чёрно-коричневый,"[100, 100, 80, 95]","[70, 100, 90, 75]",#211F20,"[33, 31, 32]"
A65E2F,RAL 8023,Оранжево-коричневый,"[20, 70, 100, 20]","[0, 70, 100, 10]",#A65E2F,"[166, 94, 47]"
79553C,RAL 8024,Бежево-коричневый,"[30, 60, 70, 40]","[0, 60, 100, 40]",#79553C,"[121, 85, 60]"
755C49,RAL 8025,Бледно-коричневый,"[40, 50, 60, 40]","[7, 60, 93, 43]",#755C49,"[117, 92, 73]"
4E3B2B,RAL 8028,Терракотовый,"[20, 50, 70, 80]","[40, 80, 100, 50]",#4E3B2B,"[78, 59, 43]"
773C27,RAL 8029,Перламутровый медный,"[23, 80, 93, 43]","[0, 80, 100, 40]",#773C27,"[119, 60, 39]"
EFEBDC,RAL 9001,Кремово-белый,"[0, 0, 10, 5]","[0, 0, 10, 0]",#EFEBDC,"[239, 235, 220]"
DDDED4,RAL 9002,Светло-серый,"[5, 0, 10, 10]","[3, 3, 10, 7]",#DDDED4,"[221, 222, 212]"
F4F8F4,RAL 9003,Сигнальный белый,"[0, 0, 0, 0]","[0, 0, 0, 0]",#F4F8F4,"[244, 248, 244]"
2E3032,RAL 9004,Сигнальный чёрный,"[100, 90, 100, 80]","[100, 100, 100, 75]",#2E3032,"[46, 48, 50]"
0A0A0D,RAL 9005,Чёрный янтарь,"[100, 100, 100, 95]","[87, 65, 66, 58]",#0A0A0D,"[10, 10, 13]"
F7F9EF,RAL 9010,Белый,"[0, 0, 5, 0]","[0, 0, 7, 0]",#F7F9EF,"[247, 249, 239]"
292C2F,RAL 9011,Графитно-чёрный,"[100, 100, 100, 80]","[90, 100, 97, 75]",#292C2F,"[41, 44, 47]"
F7FBF5,RAL 9016,Транспортный белый,"[3, 0, 0, 0]","[0, 0, 0, 0]",#F7FBF5,"[247, 251, 245]"
2A2D2F,RAL 9017,Транспортный чёрный,"[100, 90, 100, 95]","[87, 66, 66, 58]",#2A2D2F,"[42, 45, 47]"
CFD3CD,RAL 9018,Папирусно-белый,"[10, 0, 10, 20]","[7, 4, 10, 6]",#CFD3CD,"[207, 211, 205]"
